% time	cellId	IMSI	RNTI	rsrp	sinr	ComponentCarrierId
0.0242143	1	0	0	2.30453e-13	485.837	0
0.0242143	1	0	6	1.5478e-13	326.305	0
0.0242143	1	0	0	1.8306e-13	385.925	0
0.0242143	1	0	0	3.81543e-13	804.364	0
0.0242143	1	0	5	1.33595e-13	281.643	0
0.0242143	1	0	3	2.79953e-13	590.193	0
0.0242143	1	0	10	1.19717e-13	252.386	0
0.0252143	1	0	0	1.22343e-13	257.921	0
0.0252143	1	0	4	2.86795e-13	604.616	0
0.0252143	1	0	8	4.89688e-13	1032.35	0
0.0252143	1	0	1	1.18479e-13	249.775	0
0.0252143	1	0	7	1.19034e-13	250.945	0
0.0252143	1	0	2	1.59141e-12	3354.98	0
0.0252143	1	0	9	2.94313e-13	620.467	0
0.0252143	1	0	0	2.30452e-13	485.836	0
0.0252143	1	0	6	1.54779e-13	326.303	0
0.0252143	1	0	0	1.83058e-13	385.921	0
0.0252143	1	0	0	3.8154e-13	804.358	0
0.0252143	1	0	5	1.33594e-13	281.642	0
0.0252143	1	0	3	2.79951e-13	590.188	0
0.0252143	1	0	10	1.19716e-13	252.384	0
0.0262143	1	0	14	1.22343e-13	257.922	0
0.0262143	1	0	4	2.86795e-13	604.618	0
0.0262143	1	0	8	4.89693e-13	1032.36	0
0.0262143	1	0	1	1.18478e-13	249.774	0
0.0262143	1	0	7	1.19034e-13	250.945	0
0.0262143	1	0	2	1.59138e-12	3354.92	0
0.0262143	1	0	9	2.94315e-13	620.47	0
0.0262143	1	0	13	2.30452e-13	485.835	0
0.0262143	1	0	6	1.54778e-13	326.301	0
0.0262143	1	0	11	1.83057e-13	385.918	0
0.0262143	1	0	12	3.81537e-13	804.351	0
0.0262143	1	0	5	1.33594e-13	281.641	0
0.0262143	1	0	3	2.79948e-13	590.183	0
0.0262143	1	0	10	1.19716e-13	252.383	0
0.0272143	1	0	14	1.22344e-13	257.924	0
0.0272143	1	0	4	2.86796e-13	604.619	0
0.0272143	1	0	8	4.89698e-13	1032.37	0
0.0272143	1	0	1	1.18478e-13	249.773	0
0.0272143	1	0	7	1.19034e-13	250.945	0
0.0272143	1	0	2	1.59134e-12	3354.85	0
0.0272143	1	0	9	2.94316e-13	620.473	0
0.0272143	1	0	13	2.30451e-13	485.834	0
0.0272143	1	0	6	1.54777e-13	326.299	0
0.0272143	1	0	11	1.83055e-13	385.914	0
0.0272143	1	0	12	3.81534e-13	804.344	0
0.0272143	1	0	5	1.33593e-13	281.639	0
0.0272143	1	0	3	2.79946e-13	590.177	0
0.0272143	1	0	10	1.19715e-13	252.381	0
0.0282143	1	0	14	1.22345e-13	257.925	0
0.0282143	1	0	4	2.86797e-13	604.621	0
0.0282143	1	0	8	4.89703e-13	1032.38	0
0.0282143	1	0	1	1.18477e-13	249.771	0
0.0282143	1	0	7	1.19034e-13	250.945	0
0.0282143	1	0	2	1.59131e-12	3354.78	0
0.0282143	1	0	9	2.94318e-13	620.476	0
0.0282143	1	0	13	2.30451e-13	485.833	0
0.0282143	1	0	6	1.54776e-13	326.296	0
0.0282143	1	0	11	1.83054e-13	385.911	0
0.0282143	1	0	12	3.81531e-13	804.337	0
0.0282143	1	0	5	1.33593e-13	281.638	0
0.0282143	1	0	3	2.79943e-13	590.172	0
0.0282143	1	0	10	1.19714e-13	252.379	0
0.0292143	1	0	14	1.22345e-13	257.927	0
0.0292143	1	0	4	2.86797e-13	604.622	0
0.0292143	1	0	8	4.89708e-13	1032.39	0
0.0292143	1	0	1	1.18476e-13	249.77	0
0.0292143	1	0	7	1.19034e-13	250.945	0
0.0292143	1	0	2	1.59128e-12	3354.71	0
0.0292143	1	0	9	2.94319e-13	620.479	0
0.0292143	1	0	13	2.3045e-13	485.831	0
0.0292143	1	0	6	1.54775e-13	326.294	0
0.0292143	1	0	11	1.83052e-13	385.907	0
0.0292143	1	0	12	3.81527e-13	804.331	0
0.0292143	1	0	5	1.33592e-13	281.637	0
0.0292143	1	0	3	2.79941e-13	590.167	0
0.0292143	1	0	10	1.19713e-13	252.378	0
0.0302143	1	0	14	1.22346e-13	257.928	0
0.0302143	1	0	4	2.86798e-13	604.623	0
0.0302143	1	0	8	4.89713e-13	1032.41	0
0.0302143	1	0	1	1.18476e-13	249.769	0
0.0302143	1	0	7	1.19034e-13	250.945	0
0.0302143	1	0	2	1.59125e-12	3354.64	0
0.0302143	1	0	9	2.9432e-13	620.482	0
0.0302143	1	0	13	2.3045e-13	485.83	0
0.0302143	1	0	6	1.54774e-13	326.292	0
0.0302143	1	0	11	1.8305e-13	385.904	0
0.0302143	1	0	12	3.81524e-13	804.324	0
0.0302143	1	0	5	1.33591e-13	281.635	0
0.0302143	1	0	3	2.79938e-13	590.162	0
0.0302143	1	0	10	1.19712e-13	252.376	0
0.0312143	1	0	14	1.22347e-13	257.93	0
0.0312143	1	0	4	2.86799e-13	604.625	0
0.0312143	1	0	8	4.89718e-13	1032.42	0
0.0312143	1	0	1	1.18475e-13	249.767	0
0.0312143	1	0	7	1.19034e-13	250.945	0
0.0312143	1	0	2	1.59121e-12	3354.57	0
0.0312143	1	0	9	2.94322e-13	620.485	0
0.0312143	1	0	13	2.30449e-13	485.829	0
0.0312143	1	0	6	1.54773e-13	326.29	0
0.0312143	1	0	11	1.83049e-13	385.9	0
0.0312143	1	0	12	3.81521e-13	804.317	0
0.0312143	1	0	5	1.33591e-13	281.634	0
0.0312143	1	0	3	2.79936e-13	590.157	0
0.0312143	1	0	10	1.19712e-13	252.374	0
0.0322143	1	0	14	1.22347e-13	257.931	0
0.0322143	1	0	4	2.86799e-13	604.626	0
0.0322143	1	0	8	4.89723e-13	1032.43	0
0.0322143	1	0	1	1.18474e-13	249.766	0
0.0322143	1	0	7	1.19034e-13	250.945	0
0.0322143	1	0	2	1.59118e-12	3354.5	0
0.0322143	1	0	9	2.94323e-13	620.488	0
0.0322143	1	0	13	2.30448e-13	485.828	0
0.0322143	1	0	6	1.54772e-13	326.287	0
0.0322143	1	0	11	1.83047e-13	385.897	0
0.0322143	1	0	12	3.81518e-13	804.31	0
0.0322143	1	0	5	1.3359e-13	281.633	0
0.0322143	1	0	3	2.79933e-13	590.152	0
0.0322143	1	0	10	1.19711e-13	252.372	0
0.0332143	1	0	14	1.22348e-13	257.933	0
0.0332143	1	0	4	2.868e-13	604.628	0
0.0332143	1	0	8	4.89728e-13	1032.44	0
0.0332143	1	0	1	1.18474e-13	249.765	0
0.0332143	1	0	7	1.19034e-13	250.945	0
0.0332143	1	0	2	1.59115e-12	3354.44	0
0.0332143	1	0	9	2.94325e-13	620.491	0
0.0332143	1	0	13	2.30448e-13	485.827	0
0.0332143	1	0	6	1.54771e-13	326.285	0
0.0332143	1	0	11	1.83045e-13	385.894	0
0.0332143	1	0	12	3.81515e-13	804.304	0
0.0332143	1	0	5	1.3359e-13	281.631	0
0.0332143	1	0	3	2.79931e-13	590.146	0
0.0332143	1	0	10	1.1971e-13	252.371	0
0.0342143	1	0	14	1.22349e-13	257.934	0
0.0342143	1	0	4	2.86801e-13	604.629	0
0.0342143	1	0	8	4.89733e-13	1032.45	0
0.0342143	1	0	1	1.18473e-13	249.764	0
0.0342143	1	0	7	1.19034e-13	250.945	0
0.0342143	1	0	2	1.59112e-12	3354.37	0
0.0342143	1	0	9	2.94326e-13	620.494	0
0.0342143	1	0	13	2.30447e-13	485.826	0
0.0342143	1	0	6	1.5477e-13	326.283	0
0.0342143	1	0	11	1.83044e-13	385.89	0
0.0342143	1	0	12	3.81512e-13	804.297	0
0.0342143	1	0	5	1.33589e-13	281.63	0
0.0342143	1	0	3	2.79929e-13	590.141	0
0.0342143	1	0	10	1.19709e-13	252.369	0
0.0352143	1	0	14	1.2235e-13	257.935	0
0.0352143	1	0	4	2.86801e-13	604.63	0
0.0352143	1	0	8	4.89738e-13	1032.46	0
0.0352143	1	0	1	1.18473e-13	249.762	0
0.0352143	1	0	7	1.19034e-13	250.945	0
0.0352143	1	0	2	1.59108e-12	3354.3	0
0.0352143	1	0	9	2.94327e-13	620.497	0
0.0352143	1	0	13	2.30447e-13	485.825	0
0.0352143	1	0	6	1.54768e-13	326.281	0
0.0352143	1	0	11	1.83042e-13	385.887	0
0.0352143	1	0	12	3.81508e-13	804.29	0
0.0352143	1	0	5	1.33588e-13	281.629	0
0.0352143	1	0	3	2.79926e-13	590.136	0
0.0352143	1	0	10	1.19708e-13	252.367	0
0.0362143	1	0	14	1.2235e-13	257.937	0
0.0362143	1	0	4	2.86802e-13	604.632	0
0.0362143	1	0	8	4.89744e-13	1032.47	0
0.0362143	1	0	1	1.18472e-13	249.761	0
0.0362143	1	0	7	1.19034e-13	250.945	0
0.0362143	1	0	2	1.59105e-12	3354.23	0
0.0362143	1	0	9	2.94329e-13	620.5	0
0.0362143	1	0	13	2.30446e-13	485.823	0
0.0362143	1	0	6	1.54767e-13	326.278	0
0.0362143	1	0	11	1.8304e-13	385.883	0
0.0362143	1	0	12	3.81505e-13	804.283	0
0.0362143	1	0	5	1.33588e-13	281.628	0
0.0362143	1	0	3	2.79924e-13	590.131	0
0.0362143	1	0	10	1.19707e-13	252.366	0
0.0372143	1	0	14	1.22351e-13	257.938	0
0.0372143	1	0	4	2.86803e-13	604.633	0
0.0372143	1	0	8	4.89749e-13	1032.48	0
0.0372143	1	0	1	1.18471e-13	249.76	0
0.0372143	1	0	7	1.19034e-13	250.945	0
0.0372143	1	0	2	1.59102e-12	3354.16	0
0.0372143	1	0	9	2.9433e-13	620.502	0
0.0372143	1	0	13	2.30446e-13	485.822	0
0.0372143	1	0	6	1.54766e-13	326.276	0
0.0372143	1	0	11	1.83039e-13	385.88	0
