DL/UL	time	frame	subF	slot	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.144232	14	4	0	1	12	4	3	0	107	0	2	-17.2952	1	1
DL	0.144232	14	4	0	1	12	2	1	0	403	6	0	7.7282	0	0
DL	0.144232	14	4	0	1	12	8	5	0	107	0	2	-19.4125	1	1
DL	0.144232	14	4	0	1	12	6	5	0	107	0	2	-19.2018	1	1
UL	0.144232	14	4	0	10	3	5	4	0	24	0	0	-4.46257 	1	1
DL	0.144482	14	4	1	1	12	4	3	0	107	0	2	-18.1429	1	1
DL	0.144482	14	4	1	1	12	2	1	0	403	6	0	7.62606	0	0.0002
DL	0.144482	14	4	1	1	12	8	5	0	107	0	2	-20.3648	1	1
DL	0.144482	14	4	1	1	12	6	6	0	107	0	0	-9.93356	1	1
DL	0.144482	14	4	1	1	12	5	2	0	172	2	0	3.51311	0	0
DL	0.144625	14	4	2	1	6	5	3	0	52	0	1	-36.216	1	1
DL	0.144732	14	4	2	1	12	4	3	0	107	0	2	-18.1692	1	1
DL	0.144732	14	4	2	1	12	2	1	0	403	6	0	7.77273	0	0
DL	0.144732	14	4	2	1	12	8	5	0	107	0	2	-20.2693	1	1
DL	0.144732	14	4	2	1	12	6	6	0	107	0	0	-9.84153	1	1
DL	0.144732	14	4	2	7	6	5	3	0	52	0	2	-36.2077	1	1
DL	0.144804	14	4	3	1	2	5	3	0	15	0	1	-36.4646	1	1
DL	0.144839	14	4	3	3	2	5	3	0	15	0	2	-36.4455	1	1
DL	0.144929	14	4	3	5	5	5	2	0	366	13	0	13.7034	0	0.0002
DL	0.144982	14	4	3	1	12	2	1	0	403	6	1	8.33479	0	0
DL	0.144982	14	4	3	1	12	8	2	0	107	0	1	-14.7758	1	1
DL	0.144982	14	4	3	1	12	6	6	0	107	0	0	-9.76379	1	1
UL	0.144982	14	4	3	10	3	5	4	0	24	0	1	-4.62983 	1	0.985577
DL	0.145071	14	5	0	1	3	5	3	0	24	0	1	-36.5592	1	1
DL	0.145125	14	5	0	4	3	5	3	0	24	0	2	-36.5101	1	1
DL	0.145232	14	5	0	1	12	4	3	0	107	0	3	-17.9626	1	1
DL	0.145232	14	5	0	1	12	2	1	0	403	6	0	7.59792	0	0
DL	0.145232	14	5	0	1	12	8	5	0	107	0	3	-20.2103	1	1
DL	0.145232	14	5	0	1	12	6	5	0	107	0	3	-19.3459	1	1
DL	0.145232	14	5	0	7	6	5	2	0	84	2	0	13.63	0	0
DL	0.145375	14	5	1	1	6	5	3	0	52	0	3	-36.5256	1	1
DL	0.145482	14	5	1	1	12	4	3	0	107	0	3	-18.1092	1	1
DL	0.145482	14	5	1	1	12	2	1	0	403	6	0	7.4744	0	0.0002
DL	0.145482	14	5	1	1	12	8	5	0	107	0	3	-20.1385	1	1
DL	0.145482	14	5	1	1	12	6	6	0	107	0	1	-10.1724	1	1
DL	0.145482	14	5	1	7	6	5	2	0	84	2	0	13.4387	0	0
DL	0.145554	14	5	2	1	2	5	3	0	15	0	3	-36.801	1	1
DL	0.145679	14	5	2	3	7	5	2	0	514	13	0	13.4925	0	0
DL	0.145732	14	5	2	1	12	4	3	0	107	0	3	-16.9494	1	1
DL	0.145732	14	5	2	1	12	2	1	0	403	6	0	7.54264	0	0
DL	0.145732	14	5	2	1	12	8	5	0	107	0	3	-19.2164	1	1
DL	0.145732	14	5	2	1	12	6	6	0	107	0	1	-10.0345	1	1
UL	0.145732	14	5	2	10	3	5	4	0	24	0	2	-4.75835 	0	0.0026
DL	0.145821	14	5	3	1	3	5	3	0	24	0	3	-37.0049	1	1
DL	0.145982	14	5	3	1	12	2	1	0	403	6	0	7.94532	0	0
DL	0.145982	14	5	3	1	12	8	2	0	107	0	2	-14.5922	1	1
DL	0.145982	14	5	3	1	12	6	6	0	107	0	1	-10.1847	1	1
DL	0.145982	14	5	3	4	9	5	2	0	662	13	0	13.5395	0	0.0028
DL	0.146125	14	6	0	1	6	8	3	0	52	0	0	-26.1013	1	1
DL	0.146232	14	6	0	1	12	2	1	0	403	6	0	8.86219	0	0
DL	0.146232	14	6	0	1	12	5	2	0	884	13	0	11.7056	1	0.998077
DL	0.146232	14	6	0	7	6	8	4	0	52	0	0	-3.56247	0	0.0014
DL	0.146375	14	6	1	1	6	8	3	0	52	0	0	-30.1155	1	1
DL	0.146482	14	6	1	1	12	6	6	0	107	0	2	-10.388	1	1
DL	0.146482	14	6	1	1	12	2	1	0	403	6	0	7.66336	0	0
DL	0.146482	14	6	1	1	12	5	2	0	884	13	0	4.52868	1	1
DL	0.146482	14	6	1	7	6	8	4	0	52	0	0	-3.59178	0	0.0014
DL	0.146625	14	6	2	1	6	8	3	0	52	0	0	-30.1463	1	1
DL	0.146732	14	6	2	1	12	6	6	0	107	0	2	-10.4637	1	1
DL	0.146732	14	6	2	1	12	2	1	0	403	6	0	7.62247	0	0
DL	0.146732	14	6	2	1	12	5	2	0	884	13	0	4.57399	1	1
DL	0.146732	14	6	2	7	6	8	4	0	52	0	0	-3.64278	0	0.791149
DL	0.146964	14	6	3	1	11	2	1	0	369	6	0	7.78664	0	0
DL	0.146982	14	6	3	1	12	6	6	0	107	0	2	-10.0958	1	1
DL	0.146982	14	6	3	1	12	5	2	0	542	8	0	4.64926	1	1
DL	0.146982	14	6	3	1	12	8	2	0	107	0	3	-13.5748	1	1
UL	0.146982	14	6	3	12	1	2	1	0	96	17	0	14.7933 	1	0.551087
